romantic,studytime,freetime,goout,G3
0,2,3,4,6
0,2,3,2,10
0,2,4,2,15
0,2,4,4,11
0,2,1,4,6
0,2,2,2,19
0,2,5,1,15
0,2,3,3,9
0,1,3,3,14
0,2,4,3,11
0,1,4,4,14
0,3,2,3,14
0,2,3,2,10
0,1,5,5,5
0,1,1,3,10
0,2,4,1,15
0,1,4,2,15
0,2,5,1,16
0,2,4,4,12
0,3,3,2,8
0,1,2,2,8
0,1,2,4,15
0,2,3,3,11
0,2,4,2,12
0,2,3,1,17
0,1,4,3,15
0,1,5,1,6
0,3,4,3,18
0,1,3,1,13
0,2,3,3,18
0,1,4,1,11
0,2,3,5,11
0,2,3,3,14
0,2,3,3,13
0,2,3,3,13
0,1,5,5,10
0,1,3,4,11
0,1,3,4,13
0,2,2,2,15
0,2,3,2,9
0,2,2,3,16
0,2,4,4,11
0,2,4,3,9
0,3,4,4,9
0,2,4,3,15
0,4,3,3,6
0,4,4,2,16
0,4,3,2,15
0,4,3,3,10
0,1,3,2,14
0,2,3,3,10
0,4,4,3,10
0,1,5,1,10
0,2,4,3,5
0,3,3,2,11
0,2,4,4,6
0,2,3,4,6
0,3,3,3,14
0,2,4,2,10
0,2,1,3,7
0,2,3,3,6
0,2,3,3,10
0,4,1,2,10
0,1,3,3,15
0,1,3,4,14
0,3,3,5,8
0,2,3,5,6
0,2,4,4,18
0,4,3,3,11
0,4,1,2,8
0,3,3,3,18
0,3,1,2,10
0,2,1,2,13
0,1,5,2,19
0,2,4,4,16
0,2,4,3,14
0,1,4,2,13
0,2,2,4,8
0,2,2,3,15
0,4,5,4,15
0,1,4,4,13
0,1,3,3,0
0,1,5,5,18
0,1,2,1,11
0,4,2,2,0
0,3,2,2,11
0,1,4,4,13
0,1,4,5,0
0,2,4,2,11
0,2,3,2,0
0,2,3,2,11
0,1,5,5,10
0,2,4,4,8
0,1,2,2,13
0,1,2,5,10
0,1,2,2,15
0,1,4,4,0
0,1,3,3,10
0,1,5,2,12
0,2,1,5,0
0,1,4,5,0
0,2,4,4,10
0,2,4,5,9
0,2,4,4,9
0,2,3,4,6
0,2,2,2,12
0,2,1,3,10
0,2,3,3,13
0,2,3,3,9
0,1,3,2,10
0,1,3,3,14
0,2,5,2,10
0,2,3,5,16
