romantic,studytime,freetime,goout,absences,G3,failures,Dalc,Walc,health
0,2,3,4,6,6,0,1,1,3
0,2,3,3,4,6,0,1,1,3
0,2,3,2,10,10,3,2,3,3
1,3,2,2,2,15,0,1,1,5
0,2,3,2,4,10,0,1,2,5
0,2,4,2,10,15,0,1,2,5
0,2,4,4,0,11,0,1,1,3
0,2,1,4,6,6,0,1,1,1
0,2,2,2,0,19,0,1,1,1
0,2,5,1,0,15,0,1,1,5
0,2,3,3,0,9,0,1,2,2
0,3,2,2,4,12,0,1,1,4
0,1,3,3,2,14,0,1,3,5
0,2,4,3,2,11,0,1,2,3
1,3,5,2,0,16,0,1,1,3
0,1,4,4,4,14,0,1,2,2
0,3,2,3,6,14,0,1,2,2
0,2,3,2,4,10,0,1,1,4
0,1,5,5,16,5,3,2,4,5
0,1,1,3,4,10,0,1,3,5
0,2,4,1,0,15,0,1,1,1
0,1,4,2,0,15,0,1,1,5
0,2,5,1,2,16,0,1,3,5
0,2,4,4,0,12,0,2,4,5
0,3,3,2,2,8,0,1,1,5
0,1,2,2,14,8,2,1,3,5
0,1,2,2,2,11,0,1,2,5
0,1,2,4,4,15,0,2,4,1
0,2,3,3,4,11,0,1,1,5
1,2,4,5,16,11,0,5,5,5
0,2,4,2,0,12,0,3,4,5
0,2,3,1,0,17,0,1,1,5
1,2,5,2,0,16,0,1,1,5
0,2,3,2,0,12,0,1,1,2
0,1,4,3,0,15,0,1,1,5
0,1,5,1,0,6,0,1,1,5
0,3,4,3,2,18,0,1,1,4
1,3,4,3,7,15,0,1,1,5
0,3,3,2,2,11,0,1,1,5
0,1,3,1,8,13,0,1,1,2
1,2,3,3,25,11,1,1,2,3
1,1,4,3,8,12,0,2,4,5
0,2,3,3,2,18,0,1,1,5
0,1,4,1,0,11,0,1,1,1
0,2,3,3,14,9,1,2,2,5
1,2,2,2,8,6,0,1,1,5
0,2,3,5,12,11,0,1,4,3
0,4,2,2,4,20,0,1,1,2
0,2,3,3,2,14,0,2,2,5
0,2,4,4,2,7,1,1,1,3
0,2,3,3,2,13,0,2,3,4
0,2,3,3,2,13,0,1,1,5
0,1,5,5,6,10,1,3,4,5
0,1,3,4,0,11,0,2,3,5
0,1,3,4,6,13,0,4,4,1
1,2,3,4,8,10,0,1,1,2
0,2,3,2,0,15,0,1,1,1
0,2,2,2,4,15,0,1,1,5
0,2,3,2,2,9,0,1,1,5
0,2,2,3,2,16,0,1,1,5
0,2,4,4,6,11,0,2,3,4
1,1,5,5,6,11,0,5,5,5
0,2,4,3,4,9,0,1,1,1
0,3,4,4,2,9,0,2,4,4
1,2,4,4,0,10,0,2,4,2
0,2,4,3,2,15,0,1,2,1
1,4,3,3,4,12,0,5,5,3
0,4,3,3,4,6,0,1,2,5
0,2,1,3,2,8,0,1,3,4
0,4,4,2,12,16,0,2,3,3
0,4,3,2,0,15,0,1,1,5
0,4,3,3,0,10,0,1,1,3
1,2,3,4,2,5,2,2,4,5
0,1,3,2,2,14,0,2,2,5
0,2,3,3,54,11,0,2,4,5
0,2,3,3,6,10,0,2,3,5
0,4,4,3,8,10,0,1,1,1
1,4,2,3,0,11,0,1,3,3
0,1,5,1,2,10,3,1,1,3
0,2,4,3,12,5,0,1,2,3
1,1,2,2,2,12,0,1,3,3
0,3,3,2,4,11,0,1,2,5
0,2,4,4,10,6,0,1,1,5
0,2,3,3,4,15,0,1,3,4
0,2,3,2,2,10,0,2,3,4
1,2,4,4,6,8,2,2,3,5
0,2,3,4,4,6,0,1,2,2
0,3,3,3,4,14,0,1,3,1
0,2,4,2,12,10,1,1,1,3
0,2,1,3,18,7,0,3,5,5
1,3,3,3,0,8,0,1,3,4
0,1,5,5,4,18,0,1,3,1
0,2,3,3,4,6,0,2,3,2
0,2,3,3,0,10,0,1,1,1
0,4,3,4,6,14,0,1,1,4
0,4,1,2,2,10,1,1,1,1
0,1,3,3,2,15,0,1,1,4
1,2,3,5,2,10,0,1,1,5
0,1,3,4,6,14,0,1,2,1
0,3,3,5,0,8,0,1,1,3
0,1,5,5,14,5,0,5,5,4
1,3,4,3,0,17,0,1,1,4
0,1,3,3,4,14,0,1,1,5
0,2,3,5,26,6,0,1,1,2
0,2,4,4,0,18,0,1,1,1
0,4,3,3,10,11,0,1,1,4
0,4,1,2,8,8,0,1,1,3
0,3,3,3,2,18,0,1,1,5
1,4,3,5,6,13,0,3,5,1
1,3,4,5,4,16,0,1,1,4
0,1,5,3,6,19,0,1,1,4
0,3,1,2,0,10,1,1,1,2
0,2,1,2,6,13,1,1,1,5
0,1,5,2,10,19,0,1,1,3
1,2,4,2,8,9,0,1,1,5
0,2,4,4,2,16,0,1,2,5
0,2,4,3,2,14,0,1,1,2
0,1,4,2,0,13,0,1,1,5
0,2,2,4,20,8,1,1,4,5
0,1,4,3,6,13,0,1,2,4
0,2,2,3,2,15,0,1,2,1
0,4,5,4,6,15,0,1,2,5
1,2,2,2,2,13,0,1,2,5
0,1,4,4,18,13,0,1,4,5
1,2,4,4,0,8,0,1,1,5
0,1,5,5,0,12,0,3,2,5
1,2,3,2,0,11,0,1,1,1
0,2,4,2,2,9,3,1,1,5
0,1,3,3,0,0,2,1,2,4
0,1,5,5,8,18,0,2,5,4
1,3,2,2,0,0,2,2,2,5
1,1,3,3,0,0,0,1,2,4
1,1,4,4,12,12,0,1,3,5
0,1,2,1,16,11,0,1,4,5
1,2,3,3,0,0,0,1,1,5
1,3,3,3,0,0,0,1,1,5
0,2,4,5,0,0,0,2,4,5
1,1,3,2,0,0,2,1,1,5
1,2,4,4,0,12,1,1,3,5
0,1,3,2,0,15,0,1,1,5
0,4,2,2,0,0,0,1,1,3
0,1,3,3,8,9,2,2,2,2
0,3,2,2,2,11,0,1,1,5
0,1,4,4,2,13,0,3,3,1
0,1,4,5,0,0,3,1,2,5
0,2,4,2,0,11,0,1,2,5
